jdate,mean.temp.F,mean.temp.C,high.F,high.C,time,low.F,low.C,time,heat.deg.days,cool.deg.days,rain,avg.wind.speed,high,time,dom.dir
179,81.1,27.27777778,93.2,34,3:00p,68.9,20.5,4:30a,0,16.1,0,0.7,10,4:30p,S
180,81.5,27.5,94.5,34.72222222,3:30p,67.8,19.88888889,5:00a,0,16.5,0,0.9,10,4:00p,S
181,81,27.22222222,95.9,35.5,4:00p,67.4,19.66666667,5:00a,0,16,0,1.3,18,6:30p,SW
182,72.7,22.61111111,81.4,27.44444444,12:00p,68.1,20.05555556,4:30a,0,7.7,0.72,0.3,15,2:00p,WSW
183,70.7,21.5,79.9,26.61111111,3:00p,62.4,16.88888889,10:00p,0.2,5.9,0.04,1.5,16,3:00p,SW
184,67.3,19.61111111,77.9,25.5,5:30p,58,14.44444444,4:30a,1.6,3.9,0.25,1.7,14,3:00p,W
185,70.3,21.27777778,83.8,28.77777778,5:00p,55.4,13,5:30a,1.9,7.2,0,0.5,10,8:30a,SW
186,75.2,24,88.2,31.22222222,4:00p,59.9,15.5,4:30a,0.9,11.1,0,0.5,11,2:00p,S
187,80.2,26.77777778,93.6,34.22222222,3:00p,63.9,17.72222222,5:30a,0,15.3,0,1.1,12,4:00p,SSW
188,80.6,27,93.8,34.33333333,2:00p,69.3,20.72222222,6:00a,0,15.6,0,0.4,9,3:00p,SW
189,75.5,24.16666667,88.4,31.33333333,12:30p,69.4,20.77777778,10:30p,0,10.5,0.12,0.4,14,l:30p,SSW
190,76.1,24.5,86.7,30.38888889,2:30p,68.6,20.33333333,3:30a,0,11.1,0.04,1.3,12,8:30a,W
191,72.9,22.72222222,81.8,27.66666667,4:30p,64.2,17.88888889,5:30a,0,8,0,1.2,11,12:00p,W
192,78.6,25.88888889,89.7,32.05555556,2:30p,67.9,19.94444444,3:30a,0,13.6,0,0.8,11,10:30a,E
193,80.3,26.83333333,94.9,34.94444444,3:00p,72,22.22222222,5:30a,0,15.3,0.24,0.9,12,6:00p,S
194,81.4,27.44444444,93.4,34.11111111,3:00p,70.1,21.16666667,5:00a,0,16.4,0,0.6,12,3:00p,S
195,79.9,26.61111111,90.5,32.5,3:00p,69.6,20.88888889,12:00m,0,14.9,0,1.1,11,12:00p,SSW
196,79.7,26.5,92.7,33.72222222,4:30p,66,18.88888889,5:00a,0,14.7,0,0.3,7,3:00p,SSW
197,81,27.22222222,94.3,34.61111111,4:30p,67.3,19.61111111,5:30a,0,16,0,1,10,2:00p,SW
198,76.6,24.77777778,94,34.44444444,12:30p,68.9,20.5,5:00a,0,11.6,0.33,0.6,17,7:00p,W
199,71.9,22.16666667,77.6,25.33333333,12:30p,65.6,18.66666667,12:00m,0,6.9,0,2.2,21,10:30a,WSW
200,73.9,23.27777778,86.1,30.05555556,3:00p,61.8,16.55555556,5:30a,0.4,9.2,0,0.8,11,l:00p,SSW
201,76,24.44444444,89.5,31.94444444,3:30p,62.9,17.16666667,5:00a,0.2,11.2,0,0.5,6,12:00p,SW
202,73.7,23.16666667,86.7,30.38888889,l:30p,63.9,17.72222222,12:00m,0,8.7,0.28,0.9,17,7:30p,WSW
203,69.1,20.61111111,80.3,26.83333333,5:00p,57.3,14.05555556,5:00a,1.9,6,0.01,0.8,10,12:00p,WNW
204,69,20.55555556,82.8,28.22222222,4:00p,57.2,14,3:30a,2.5,6.6,0,0.5,6,11:00a,SW
205,72.5,22.5,85.7,29.83333333,l:00p,56,13.33333333,5:30a,2,9.6,0,0.5,9,11:30a,E
206,79.7,26.5,90.7,32.61111111,3:30p,70.6,21.44444444,5:00a,0,14.7,0,1,11,12:30p,S
207,78,25.55555556,91.6,33.11111111,3:00p,67.9,19.94444444,5:00a,0,13,0.02,0.4,9,l:30p,W
208,77.5,25.27777778,92.1,33.38888889,2:30p,63.5,17.5,4:30a,0.1,12.6,0.01,0.7,12,2:00p,WNW
209,77,25,89.5,31.94444444,2:30p,62.4,16.88888889,5:00a,0.4,12.4,0,0.7,12,l:30p,NW
210,75.2,24,86.5,30.27777778,3:00p,68.6,20.33333333,5:30a,0,10.2,0.08,0.5,17,4:00p,S
211,75.9,24.38888889,86.5,30.27777778,2:00p,61,16.11111111,12:00m,0.3,11.2,0,1.4,13,12:00p,W
212,68.7,20.38888889,81.4,27.44444444,2:30p,56.3,13.5,4:30a,2,5.7,0,0.5,10,2:30p,NE
213,69.8,21,79.4,26.33333333,5:30p,62.6,17,12:00a,0.2,5,0.54,0.2,7,8:30p,S
214,67.1,19.5,79,26.11111111,5:30p,55.4,13,5:30a,2.7,4.7,0,0.9,12,11:30a,W
215,67.1,19.5,79.9,26.61111111,3:30p,56.6,13.66666667,2:00a,2.8,4.8,0,0.3,7,12:30p,ENE
216,64.9,18.27777778,78.8,26,1:30p,58.3,14.61111111,2:00a,1.8,1.8,0,0.5,10,1:30p,NE
226,78.4,25.77777778,86.5,30.27777778,12:30p,69.3,20.72222222,6:00a,0,12.8,0,0.8,12,12:00p,NW
227,74.1,23.38888889,81.4,27.44444444,1:30p,68.6,20.33333333,6:30a,0,9.1,0,0.9,9,2:00a,NNW
228,74.7,23.72222222,81.2,27.33333333,2:30p,69.4,20.77777778,12:30a,0,9.7,0.21,0.4,7,4:00p,ENE
229,77.1,25.05555556,85.7,29.83333333,3:30p,69.6,20.88888889,4:00a,0,12.1,0.36,0.1,6,5:00p,NE
230,79.7,26.5,84.9,29.38888889,4:00p,75.6,24.22222222,3:30a,0,14.7,0.47,1,12,10:30a,E
231,79.5,26.38888889,87.8,31,4:30p,73,22.77777778,2:30a,0,14.5,0,1.3,12,9:00a,SW
232,74.6,23.66666667,84.3,29.05555556,5:30p,68.4,20.22222222,12:00m,0,9.6,0.55,0.2,5,1:30p,NE
