"","hour","jdate","activity","act2","Wind_speed_max_m.s","Wind_speed_avg_m.s","Rain_Accumulation_mm","Rain_Duration_s","delta.air","Air_Pressure_pascal","Air_Temperature_C","Relative_Humidity_pct","rain.log","air2","delta.air2","deltaair2.log","deltaair2.cube","wind.avg2","rh2"
"201",22,260,29.8,29.6,2.42666666666667,1.61833333333333,0.04,170,-0.333333333333333,101278.5,22.1216666666667,88.4116666666667,5.1358043193859,101307.5,-29,NA,NA,2.61900277777778,7816.62280277778
"202",22,261,24.2,39.2,2.34166666666667,1.88166666666667,0,0,-0.166666666666667,101144.166666667,23.4616666666667,76.7483333333333,-6.90775527898214,101122.833333333,21.333333333343,3.06031766859342,2.77344509740296,3.54066944444444,5890.30666944445
"203",22,262,8.4,3.8,4.10666666666667,2.68833333333333,0.19,50,0.666666666666667,101618,20.3783333333333,73.57,3.91204300522815,101561.5,56.5,4.03425833711081,3.83721513940499,7.22713611111111,5412.5449
"204",22,263,9,10,5.48833333333333,3.27166666666667,0,0,-0.666666666666667,101903.166666667,20.5866666666667,70.1866666666667,-6.90775527898214,101929.166666667,-26,NA,NA,10.7038027777778,4926.16817777778
"205",22,264,93.2,97.2,4.19333333333333,2.40166666666667,0,0,-0.333333333333333,101496.666666667,22.2216666666667,85.99,-6.90775527898214,101518.166666667,-21.5,NA,NA,5.76800277777778,7394.2801
"206",22,265,46,43.6666666666667,8.42166666666667,4.2,7.95,5940,-0.333333333333333,100441.666666667,24.425,82.5933333333333,8.68946458070685,100435.166666667,6.5,1.87195601122233,1.86625557840862,17.64,6821.65871111111
"207",22,266,15,10.8,1.92,1.39,16.31,8200,-0.333333333333333,100918.166666667,15.735,70.27,9.01188955520356,100905.166666667,13,2.56502627758003,2.35133468772076,1.9321,4937.8729
"208",22,267,2.8,4.6,1.17833333333333,1.09,0,0,0.166666666666667,101155.333333333,18.5216666666667,47.76,-6.90775527898214,101155,0.333333333328483,-1.09561677970282,0.693361274347271,1.1881,2281.0176
"209",22,268,7,16.6,3.35,2.63,0.01,10,-0.166666666666667,100723.5,16.8983333333333,69.9,2.30268508799438,100716.833333333,6.66666666667152,1.89726997363773,1.88207205776251,6.9169,4886.01
"210",22,269,15.8,23.8,3.63666666666667,2.71333333333333,0,0,0.333333333333333,101013.5,16.4583333333333,62.425,-6.90775527898214,101000.5,13,2.56502627758003,2.35133468772076,7.36217777777778,3896.880625
"211",22,270,90.8,69.4,5.19333333333333,3.07333333333333,0.12,160,-0.5,100603.666666667,20.0583333333333,62.9683333333333,5.0751800652143,100636.333333333,-32.666666666657,NA,NA,9.44537777777778,3965.01100277778
"212",23,238,3.33333333333333,1,1.395,1.25,0.01,80,0,101225.833333333,25.4416666666667,75.8566666666667,4.38203913459576,101230.166666667,-4.33333333334303,NA,NA,1.5625,5754.23387777778
"213",23,239,28.2,23.8,2.08,1.385,0.05,90,0.833333333333333,101307.5,23.4666666666667,89.6966666666667,4.49982078137965,101302.666666667,4.83333333332848,1.575743235909,1.69076110732769,1.918225,8045.49201111111
"214",23,240,8.5,9.4,3.17833333333333,1.70166666666667,0,0,-0.666666666666667,101624,22.4966666666667,87.035,-6.90775527898214,101636.5,-12.5,NA,NA,2.89566944444444,7575.091225
"215",23,241,12,23.8,2.33166666666667,1.90166666666667,0,0,-0.666666666666667,101044.5,22.9266666666667,87.835,-6.90775527898214,101100.5,-56,NA,NA,3.61633611111111,7714.987225
"216",23,242,23.2,27.4,2.81,2.14,2.18,1150,-0.5,100363.166666667,22.82,84.6016666666667,7.04751809092213,100383.333333333,-20.166666666657,NA,NA,4.5796,7157.44200277778
"217",23,243,4.25,4,2.07333333333333,1.58166666666667,0.03,190,-0.5,100169.833333333,25.0883333333333,83.1683333333333,5.24702933530453,100208.333333333,-38.5,NA,NA,2.50166944444444,6916.97166944445
"218",23,244,1,1,8.16333333333333,4.075,32.08,7730,1.5,99796.1666666667,18.6766666666667,83.66,8.95286427094756,99693.1666666667,103,4.63473869692037,4.6875481476536,16.605625,6998.9956
"219",23,245,14.2,0,2.78,2.32833333333333,0,0,0,100945.333333333,18.675,52.615,-6.90775527898214,100952.333333333,-7,NA,NA,5.42113611111111,2768.338225
"220",23,246,19,10,2.24833333333333,1.77,0,0,-0.333333333333333,101185.666666667,18.7683333333333,66.4316666666667,-6.90775527898214,101199.5,-13.8333333333285,NA,NA,3.1329,4413.16633611111
"221",23,247,87.8,56,4.53833333333333,2.975,0,0,-1,100689.333333333,20.0533333333333,79.27,-6.90775527898214,100725.5,-36.1666666666715,NA,NA,8.850625,6283.7329
"222",23,248,44.8,71.8,3.355,2.25,1.09,852.666666666667,-0.333333333333333,100359.333333333,21.2283333333333,89.7033333333333,6.74836986626123,100352.333333333,7,1.94605299599506,1.91293118277239,5.0625,8046.68801111111
"223",23,249,21.4,34,2.615,2.27833333333333,0.32,760,0.5,100718.5,20.4633333333333,69.9983333333333,6.63331974906898,100685.666666667,32.8333333333285,3.49147471589878,3.20212532423498,5.19080277777778,4899.76666944444
"224",23,250,86.75,107.25,4.97833333333333,3.18,0,10,-0.666666666666667,100700.5,21.8083333333333,67.0783333333333,2.30268508799438,100732,-31.5,NA,NA,10.1124,4499.50280277778
"225",23,251,118.666666666667,137.333333333333,4.67166666666667,2.8,0,0,0,100144.833333333,23.5916666666667,80.7266666666667,-6.90775527898214,100158.333333333,-13.5,NA,NA,7.84,6516.79471111111
"226",23,252,15.6666666666667,47.6666666666667,4.31166666666667,2.705,4.11,3180,0.333333333333333,100441.5,18.165,73.2566666666667,8.06463679023958,100412.833333333,28.6666666666715,3.35576989069807,3.06050010574906,7.317025,5366.53921111111
"227",23,255,117,113.5,3.35,2.23666666666667,0,0,0.166666666666667,101176.833333333,23.495,73.495,-6.90775527898214,101159,17.8333333333285,2.8811254384278,2.61262759183398,5.00267777777778,5401.515025
"228",23,256,62,76,1.855,1.70333333333333,0.05,50,-0.333333333333333,101101.666666667,25.3933333333333,69.0916666666667,3.91204300522815,101115.833333333,-14.166666666657,NA,NA,2.90134444444444,4773.65840277778
"229",23,257,105.25,96.25,3.70166666666667,2.49833333333333,0.01,10,-0.166666666666667,100818.166666667,24.1816666666667,86.7933333333333,2.30268508799438,100822,-3.83333333332848,NA,NA,6.24166944444445,7533.08271111111
"230",23,258,74.75,111,0.865,0.656666666666667,0,0,-0.666666666666667,101014.333333333,24.3533333333333,84.3333333333333,-6.90775527898214,101006.5,7.83333333332848,2.05851578390806,1.98601352842151,0.431211111111111,7112.11111111111
"231",23,259,15.8,60.5,3.16333333333333,1.76833333333333,0,0,-1,101417.5,22.5416666666667,89.795,-6.90775527898214,101453.333333333,-35.8333333333285,NA,NA,3.12700277777778,8063.142025
"232",23,260,13.4,29.8,1.79833333333333,1.24833333333333,0.04,170,-0.5,101261.666666667,21.7933333333333,89.5466666666667,5.1358043193859,101278.5,-16.8333333333285,NA,NA,1.55833611111111,8018.60551111111
"233",23,261,45.4,24.2,2.17,1.79333333333333,0,0,0.333333333333333,101154.833333333,23.285,75.5433333333333,-6.90775527898214,101144.166666667,10.666666666657,2.36721735973645,2.20128483259575,3.21604444444444,5706.79521111111
"234",23,262,5.8,8.4,4.02833333333333,2.58,0.19,50,0.5,101657,20.2033333333333,70.5583333333333,3.91204300522815,101618,39,3.66358728682656,3.39121144301417,6.6564,4978.47840277778
"235",23,263,9.2,9,4.71833333333333,2.905,0,0,-0.333333333333333,101881.833333333,20.42,72.3883333333333,-6.90775527898214,101903.166666667,-21.333333333343,NA,NA,8.439025,5240.07080277778
"236",23,264,111,93.2,4.025,2.29333333333333,0,0,-1,101449,21.7716666666667,88.2683333333333,-6.90775527898214,101496.666666667,-47.6666666666715,NA,NA,5.25937777777778,7791.29866944444
"237",23,265,6,46,9.28166666666667,4.84166666666667,7.95,5940,-1,100388.166666667,24.4666666666667,82.4083333333333,8.68946458070685,100441.666666667,-53.5,NA,NA,23.4417361111111,6791.13340277778
"238",23,266,8.2,15,1.79,1.37833333333333,16.31,8200,-0.166666666666667,100912,15.3233333333333,71.1966666666667,9.01188955520356,100918.166666667,-6.16666666667152,NA,NA,1.89980277777778,5068.96534444445
"239",23,267,7.2,2.8,1.28333333333333,1.18666666666667,0,0,-0.166666666666667,101148.333333333,18.8633333333333,45.5983333333333,-6.90775527898214,101155.333333333,-7,NA,NA,1.40817777777778,2079.20800277778
"240",23,268,7,7,4.33166666666667,2.81166666666667,0.01,10,0.166666666666667,100729.166666667,16.5783333333333,71.7683333333333,2.30268508799438,100723.5,5.66666666667152,1.73477751040809,1.78282708041363,7.90546944444444,5150.69366944444
"241",23,269,14.4,15.8,3.38833333333333,2.57,0,0,0.333333333333333,101029,15.785,68.02,-6.90775527898214,101013.5,15.5,2.74090453797316,2.49331547611932,6.6049,4626.7204
"242",23,270,90.2,90.8,4.38,2.535,0.12,160,0.5,100600.166666667,19.8333333333333,63.3266666666667,5.0751800652143,100603.666666667,-3.5,NA,NA,6.426225,4010.26671111111
